Vardas                  Pavarde                      ND1       ND2       ND3       ND4       ND5       ND6       ND7       EGZ
Vardas4403           Pavarde4403                      2         1         1         6         8         4         2         7
Vardas4404           Pavarde4404                      7         8         2         5         9         3        10         3
Vardas4405           Pavarde4405                      8         6         9         9         9         2         4         7
Vardas4406           Pavarde4406                      8         3         2         1         6         5         7         6
Vardas4407           Pavarde4407                      1         8         5         2        10         6         1         9
Vardas4408           Pavarde4408                      3         7         2         8         4         1         9         3
Vardas4409           Pavarde4409                      2         8         8         6         3         5         2         2
Vardas4410           Pavarde4410                      7        10         6         1         5         2         9         7
Vardas4411           Pavarde4411                     10         5         6         6         2        10         6         3
Vardas4412           Pavarde4412                      9         5        10         2         9         1         5         9
Vardas4413           Pavarde4413                      2         5         3         4         1         7         9         7
Vardas4414           Pavarde4414                      6         2         2         1         7         8         9         8
Vardas4415           Pavarde4415                      9         9         3         9         8         7         5         3
Vardas4416           Pavarde4416                      9         8         9         6         4         1         3        10
Vardas4417           Pavarde4417                      9         9         7         2         2         3         2         9
Vardas4418           Pavarde4418                      9         5         5         9         1        10         3         7
Vardas4419           Pavarde4419                      2        10         3         5         8         7         1        10
Vardas4420           Pavarde4420                     10         1         6         2         4         6         1         9
Vardas4421           Pavarde4421                      1         5         4         1         5         4         5         2
Vardas4422           Pavarde4422                      5         2         3         4         3         5         4         9
Vardas4423           Pavarde4423                     10        10         9         4         2         1         3         8
Vardas4424           Pavarde4424                      1         4         4        10        10         8         5         9
Vardas4425           Pavarde4425                      7         9         5         1         2         6         5         9
Vardas4426           Pavarde4426                      7         8         2        10         7         4         8         9
Vardas4427           Pavarde4427                      6        10         5         6         4         9         2         4
Vardas4428           Pavarde4428                      2         8         3         2         7         6         8         4
Vardas4429           Pavarde4429                      4         9         3         6         9         4         9         9
Vardas4430           Pavarde4430                      4         4         8         7         6         9         9        10
Vardas4431           Pavarde4431                      6        10         9         2         6         6         3         3
Vardas4432           Pavarde4432                      1        10         5         1         1        10         8         3
Vardas4433           Pavarde4433                      5         4         6         9         6         9         6         3
Vardas4434           Pavarde4434                      3         1         9         5         4         4         5         3
Vardas4435           Pavarde4435                      9         4         7         1         9         1         8         2
Vardas4436           Pavarde4436                      5         5         5        10         5        10         4        10
Vardas4437           Pavarde4437                      1         2         5         2         4         7         5         9
Vardas4438           Pavarde4438                      7         3         3        10         9         3         1         1
Vardas4439           Pavarde4439                      7         1         6         5        10         1         6        10
Vardas4440           Pavarde4440                      3         1         3         5         5         5         2        10
Vardas4441           Pavarde4441                      7         8         8         1         9         8         8         7
Vardas4442           Pavarde4442                      8         5         4        10         1         7         3         1
Vardas4443           Pavarde4443                      2         9         8         8         7        10         7         6
Vardas4444           Pavarde4444                      8         3         9         5         2         8         5         9
Vardas4445           Pavarde4445                      9         5         7        10         7         6         2        10
Vardas4446           Pavarde4446                      1         4         5         6         3         2         7         4
Vardas4447           Pavarde4447                      5         9         1         4         1        10         1         3
Vardas4448           Pavarde4448                      7         3         6         3         2         5         6         4
Vardas4449           Pavarde4449                      5         1         1         3         8         8         4         6
Vardas4450           Pavarde4450                      8         1         8        10         4         2         4         4
Vardas4451           Pavarde4451                      8         7         6        10        10         3         1         7
Vardas4452           Pavarde4452                      7         1         3        10        10         4         4         3
Vardas4453           Pavarde4453                      5         6         8         4         9         9        10         6
Vardas4454           Pavarde4454                     10         4         7         2         1         8         9         4
Vardas4455           Pavarde4455                      4        10         8         3         7         2        10         7
Vardas4456           Pavarde4456                      6        10         5         6        10         2         4         5
Vardas4457           Pavarde4457                      4         5         9         4         9         5         7         3
Vardas4458           Pavarde4458                     10         5         8         8         3         5         2         2
Vardas4459           Pavarde4459                      6         2         1         6         7         8         9         4
Vardas4460           Pavarde4460                      4         2         9         2         9         9         6         2
Vardas4461           Pavarde4461                      3         2         5         1         5         3         3         2
Vardas4462           Pavarde4462                      4         5         8         1         7         1        10         4
Vardas4463           Pavarde4463                      3         3        10         7         9        10         3         2
Vardas4464           Pavarde4464                      1         1         6         6         8         1         8         5
Vardas4465           Pavarde4465                      2         1         9         2         6         8         1         5
Vardas4466           Pavarde4466                      8         4         1         1         6         7         7        10
Vardas4467           Pavarde4467                      5         2         3         6         9         9         1         3
Vardas4468           Pavarde4468                      3         4         8         3         9         2         9         5
Vardas4469           Pavarde4469                      8         1         5         2         5         1         7         1
Vardas4470           Pavarde4470                      4         3         1         8         1         5         1         3
Vardas4471           Pavarde4471                      6         7        10        10         4         3         9         8
Vardas4472           Pavarde4472                      2         5         2         5         8         4         7         3
Vardas4473           Pavarde4473                      5        10         7        10         8         2         8         6
Vardas4474           Pavarde4474                      3         3         5         4         2         4         4         2
Vardas4475           Pavarde4475                     10        10         8         3         1         3         2         1
Vardas4476           Pavarde4476                      4         9         8         6         1         4         2         4
Vardas4477           Pavarde4477                      7         9         7         3         1         4         6         3
Vardas4478           Pavarde4478                      4         6         3         7         8        10         6         7
Vardas4479           Pavarde4479                     10        10         8         4         8         3         6         9
Vardas4480           Pavarde4480                      1         5         3         2         9         1         3         2
Vardas4481           Pavarde4481                      7         4         7         2         2         3         3         5
Vardas4482           Pavarde4482                      2         7         5         8         3        10         2         3
Vardas4483           Pavarde4483                      1         6         1         6         4         9         3         7
Vardas4484           Pavarde4484                      6         9         8         9         6         4         8         1
Vardas4485           Pavarde4485                      8         8         5         9         1         7         4         2
Vardas4486           Pavarde4486                      4         7         9         3         5         2         8         4
Vardas4487           Pavarde4487                      8         8         6         5         6         4         8         3
Vardas4488           Pavarde4488                      9         1         8         7         4         8         8         1
Vardas4489           Pavarde4489                     10         9         3         4         9         9         6         8
Vardas4490           Pavarde4490                      7         4        10         7         9        10         5         7
Vardas4491           Pavarde4491                      3         7         2         6         4         4         7         2
Vardas4492           Pavarde4492                      7         3         8         7         2         7         6         1
Vardas4493           Pavarde4493                     10         9         2         9         7         1         6         7
Vardas4494           Pavarde4494                      4         3         2         9         5         8         2         6
Vardas4495           Pavarde4495                      8         8         9         2         1         6         2         5
Vardas4496           Pavarde4496                      1         4         5         8         5         7         6         9
Vardas4497           Pavarde4497                      6         5         6         5         2         9         1         3
Vardas4498           Pavarde4498                      7        10         7         9         1         7         6         4
Vardas4499           Pavarde4499                      9         7         5         7         4         7        10         9
Vardas4500           Pavarde4500                      6         7         5         1         4         2         6         6
Vardas4501           Pavarde4501                      1         8         3         6         8         7         7         7
Vardas4502           Pavarde4502                      8         1         8        10         3         2         7         1
Vardas4503           Pavarde4503                      2         2         1         1         8         6         1         5
Vardas4504           Pavarde4504                      7         4        10         9         5         9         7         2
Vardas4505           Pavarde4505                      5         3         3         6         1        10         9         7
Vardas4506           Pavarde4506                     10         2         7        10         4         6         6         3
Vardas4507           Pavarde4507                      9         5         9         6         7         4        10         4
Vardas4508           Pavarde4508                      6         3        10         9         4        10         3         4
Vardas4509           Pavarde4509                      2         5         8         4         5         1         1         8
Vardas4510           Pavarde4510                      1         7         4         8         2         8         8         4
Vardas4511           Pavarde4511                      6         4         3         3         2         1         1         5
Vardas4512           Pavarde4512                      8         5         6         5         3        10         2         7
Vardas4513           Pavarde4513                      2         4         2         5         9         3         4         2
Vardas4514           Pavarde4514                      7         3         6         2         7         3         7         7
Vardas4515           Pavarde4515                      3         3         2         2         3         8         6         8
Vardas4516           Pavarde4516                      3         4         6         4         9         3         8         5
Vardas4517           Pavarde4517                     10         2         8         1         6         8         9         3
Vardas4518           Pavarde4518                      9         5         5         7         3         1         3        10
Vardas4519           Pavarde4519                      7         3         4         5         4         8         7         3
Vardas4520           Pavarde4520                      3         3         7         8         4         8         9         3
Vardas4521           Pavarde4521                      9         2         3         1         5        10         8         7
Vardas4522           Pavarde4522                      4        10         2         1        10         4         2        10
Vardas4523           Pavarde4523                      2         3         5         6         7         6         8         3
Vardas4524           Pavarde4524                      5         9        10         7         5         4         9         7
Vardas4525           Pavarde4525                      5         4         6         3         3         7         4         5
Vardas4526           Pavarde4526                      8         3         2         8         5         3         7        10
Vardas4527           Pavarde4527                     10         3         2         4         5        10         9         4
Vardas4528           Pavarde4528                      4         7         7         4         4         5         9         5
Vardas4529           Pavarde4529                      5         5         1         1         7         4         5         8
Vardas4530           Pavarde4530                     10         2         1         7         7         6         2         4
Vardas4531           Pavarde4531                      7         3         2         3         7         8         1         5
Vardas4532           Pavarde4532                     10         5         6         1         2         9        10        10
Vardas4533           Pavarde4533                      6         7         8         1         6         1         4         2
Vardas4534           Pavarde4534                      1        10         3        10         4         8         5         3
Vardas4535           Pavarde4535                      3         8        10         9         9         5         6         2
Vardas4536           Pavarde4536                      6         5         7         1         3         5         9         3
Vardas4537           Pavarde4537                      6         1         8         5         1         2         7         6
Vardas4538           Pavarde4538                      3         2         7        10         1         3         6         8
Vardas4539           Pavarde4539                     10         8         6         7         5         3         8        10
Vardas4540           Pavarde4540                      2         3         1         7        10         3         9         6
Vardas4541           Pavarde4541                      3         5         4         6         6         4         5         8
Vardas4542           Pavarde4542                      3         5         5         7        10         3         2         7
Vardas4543           Pavarde4543                      1         5         8         8         5         9         5         4
Vardas4544           Pavarde4544                      5         2         3         1         6         6         6         6
Vardas4545           Pavarde4545                      3         4         1         9         7        10         9         2
Vardas4546           Pavarde4546                      3        10         5         7         6         9         3         5
Vardas4547           Pavarde4547                      9         2         8        10         6         7         2         5
Vardas4548           Pavarde4548                      3         9         2         9        10         2         2         3
Vardas4549           Pavarde4549                      3         8         3         5         9         5         6         6
Vardas4550           Pavarde4550                     10         2         8         6         1         1         2         9
Vardas4551           Pavarde4551                      7         6         7         7         3         4         1        10
Vardas4552           Pavarde4552                      9         2         8         7         7         6         6        10
Vardas4553           Pavarde4553                      7        10         7         1         3         2         8         5
Vardas4554           Pavarde4554                      2         7         7         2         1         7         5         1
Vardas4555           Pavarde4555                     10         8         2         3         8         2         4        10
Vardas4556           Pavarde4556                      4         1         6         4         8         6         9         6
Vardas4557           Pavarde4557                      3         7         2         9         7        10         7         8
Vardas4558           Pavarde4558                      5         8         2         9         5         5         6         4
Vardas4559           Pavarde4559                      7         4         4         3         1         2         8         8
Vardas4560           Pavarde4560                      9         8        10         1         5         2         5         3
Vardas4561           Pavarde4561                      7        10         8        10         9         7         4         1
Vardas4562           Pavarde4562                      6         8         9        10         7         7         4         7
Vardas4563           Pavarde4563                      7         2         4         2         3         6         7         8
Vardas4564           Pavarde4564                      6         7         3         9         1         6         8         9
Vardas4565           Pavarde4565                      2        10         5         9         1         3         2         1
Vardas4566           Pavarde4566                      3         9         8         8         8         4         8         6
Vardas4567           Pavarde4567                      8         5         5         7         8         7         7         9
Vardas4568           Pavarde4568                      1         9         4         9         2         7         5         4
Vardas4569           Pavarde4569                      3         5         7         7         6         8         9        10
Vardas4570           Pavarde4570                      6         3         8         3         5         8         2         3
Vardas4571           Pavarde4571                      9         8        10         5         4         1         8         6
Vardas4572           Pavarde4572                      8        10         1         7        10        10         6         8
Vardas4573           Pavarde4573                      9         6         2         4        10         8        10        10
Vardas4574           Pavarde4574                      9         4        10         6         5         5         5         3
Vardas4575           Pavarde4575                      4         7         7         4        10         1         3         1
Vardas4576           Pavarde4576                      4         6         1         2         5         2         9         3
Vardas4577           Pavarde4577                      4         5         8         3         7         8         1         6
Vardas4578           Pavarde4578                      8         3         2         2         5         3        10         4
Vardas4579           Pavarde4579                      9         3         3         6         7         1         3         1
Vardas4580           Pavarde4580                      3         2         8         1         7         1         4         2
Vardas4581           Pavarde4581                      8         5         9         3         9         3        10         9
Vardas4582           Pavarde4582                      3         2         5         5         1         3         1         1
Vardas4583           Pavarde4583                      9         9         2         6         8         5         2         7
Vardas4584           Pavarde4584                      6        10         6         9         3         8         8         3
Vardas4585           Pavarde4585                      6         4         7         7         3         2         3         5
Vardas4586           Pavarde4586                      1         2         2         3         1         3         9         2
Vardas4587           Pavarde4587                      2         2         6         8        10        10         3         8
Vardas4588           Pavarde4588                      7         8         7         4         1         4         5         2
Vardas4589           Pavarde4589                      6         1         8         3         4         4         4         3
Vardas4590           Pavarde4590                      7         7         4         5         8         9         9         8
Vardas4591           Pavarde4591                      3         8         1         8         4         9         9        10
Vardas4592           Pavarde4592                      2         7         6         9         5         8         8         8
Vardas4593           Pavarde4593                      3         9         3         2         8         2         8         9
Vardas4594           Pavarde4594                      9         2         6         1         1         8         4         9
Vardas4595           Pavarde4595                      4         2         3         1         3         6         9         3
Vardas4596           Pavarde4596                      4         4         9         1         6        10         5         5
Vardas4597           Pavarde4597                      2         3         8         5         8         7        10         6
Vardas4598           Pavarde4598                      1         7        10         6        10         7        10         2
Vardas4599           Pavarde4599                      8        10         7         4        10         9         8         6
Vardas4600           Pavarde4600                      5         4         8         1         9        10         4         9
Vardas4601           Pavarde4601                      5         8         6         1         7         4         2         6
Vardas4602           Pavarde4602                      3         2         2         9         5        10         4         9
Vardas4603           Pavarde4603                      5         6         2         7         3         6         8         2
Vardas4604           Pavarde4604                     10         9         6         8         2         7        10         1
Vardas4605           Pavarde4605                     10        10         5         7         1         5         9        10
Vardas4606           Pavarde4606                      2        10         8         6         3         9         9         5
Vardas4607           Pavarde4607                      3         3         8         5         8         7         1         4
Vardas4608           Pavarde4608                      4         5         3         7         9         3         9         3
Vardas4609           Pavarde4609                      7         6         3         6         3         1         8         6
Vardas4610           Pavarde4610                      4         6         5        10        10         8        10        10
Vardas4611           Pavarde4611                      5         1         6         3         4         2         2         5
Vardas4612           Pavarde4612                      8         2         7         3         9         7         3         6
Vardas4613           Pavarde4613                      8         5         2         2         8         6         2         1
Vardas4614           Pavarde4614                      1         3         3         5         3         8         1        10
Vardas4615           Pavarde4615                      9         5         1        10         1         8         1         5
Vardas4616           Pavarde4616                      5         8         9         2         7        10         4         1
Vardas4617           Pavarde4617                      6         4         3         6        10        10         7         4
Vardas4618           Pavarde4618                      8         5         3         9         1         4         1         9
Vardas4619           Pavarde4619                     10         3         3         3         1         2         3         6
Vardas4620           Pavarde4620                      5         6        10         9         9         6         6        10
Vardas4621           Pavarde4621                      8         2        10         4         8         4         5         9
Vardas4622           Pavarde4622                      7         5         8         7         9         8         8        10
Vardas4623           Pavarde4623                      4         8         8         3         9         8         3         6
Vardas4624           Pavarde4624                      7         3         7         4        10         1         5         1
Vardas4625           Pavarde4625                      9        10         7        10         8         4         4         3
Vardas4626           Pavarde4626                      4         9         2        10         7         2         1         1
Vardas4627           Pavarde4627                      3         7         3         1         4         9         6         8
Vardas4628           Pavarde4628                      5         1         1        10         6         6         7         8
Vardas4629           Pavarde4629                      2         2         9         1         6         8         2         9
Vardas4630           Pavarde4630                      8         7        10         1         2         8         1         1
Vardas4631           Pavarde4631                      2         3         4         4         7         2         7        10
Vardas4632           Pavarde4632                      3         5         9         4         2         5         7         6
Vardas4633           Pavarde4633                      5         6         8        10         6         3         1         9
Vardas4634           Pavarde4634                      1         9         6        10        10         3         8         2
Vardas4635           Pavarde4635                     10         9         2         9         1         2         3         5
Vardas4636           Pavarde4636                      9         1         3         2         8         6         5         7
Vardas4637           Pavarde4637                      9         1         2        10         2         9         2         1
Vardas4638           Pavarde4638                     10         3         8         1         1         7        10         7
Vardas4639           Pavarde4639                      2         8         1         5         1         9         7         8
Vardas4640           Pavarde4640                      4         8         9         5         7         3         4         2
Vardas4641           Pavarde4641                      2         4         9         2         9        10         6         1
Vardas4642           Pavarde4642                      7         9         2         9         3         8         5         8
Vardas4643           Pavarde4643                      6         5         8         3         9         1         7         1
Vardas4644           Pavarde4644                      7         4         2         7         2         1         8         7
Vardas4645           Pavarde4645                      4         3         4        10         9        10         5         6
Vardas4646           Pavarde4646                      8         7         5         7         2         5        10         9
Vardas4647           Pavarde4647                      3         2         4         1         9         9         5         9
Vardas4648           Pavarde4648                      7         8         1         1         3         1        10         2
Vardas4649           Pavarde4649                      7         4        10         5         5        10        10         7
Vardas4650           Pavarde4650                      2         7         3         2         3         7         6         2
Vardas4651           Pavarde4651                      2         4         5         9         5         3        10         8
Vardas4652           Pavarde4652                      2         8         5         8        10         2         7         2
Vardas4653           Pavarde4653                      1         4         5         5         9         6         8         1
Vardas4654           Pavarde4654                      5         8         9         7         7         6         7         1
Vardas4655           Pavarde4655                      1         4         6         1        10         1         1         3
Vardas4656           Pavarde4656                      3        10         2        10        10         8         7         3
Vardas4657           Pavarde4657                      2         2         6         3         3         6         7         7
Vardas4658           Pavarde4658                      2         7         5         4         6         8        10         1
Vardas4659           Pavarde4659                      3         5        10         8         5         9         2        10
Vardas4660           Pavarde4660                      4         6         2         2         8         5         5         2
Vardas4661           Pavarde4661                      6         1         6         9         7         5         8         1
Vardas4662           Pavarde4662                      5        10         1         5         7         6         4         5
Vardas4663           Pavarde4663                     10         9         3         1         5         7         2         8
Vardas4664           Pavarde4664                      6         4         4         4         7         8         9         7
Vardas4665           Pavarde4665                      3         9         6         1         6         2         2         1
Vardas4666           Pavarde4666                      4         1         7         6         4         6         9         2
Vardas4667           Pavarde4667                      9         4         1         2        10         3         9         8
Vardas4668           Pavarde4668                      9         5        10         1         6         6         1         5
Vardas4669           Pavarde4669                      1         3         4         5        10         4         4         7
Vardas4670           Pavarde4670                      8         8         2         2         8         1         7         2
Vardas4671           Pavarde4671                      9         9         5         9         5         7         5         5
Vardas4672           Pavarde4672                      5         3         2         4         9         6         3         7
Vardas4673           Pavarde4673                      5         9         1         3         2         9         4         7
Vardas4674           Pavarde4674                      1        10        10         8         5         3         6         1
Vardas4675           Pavarde4675                      2         7        10         1         2        10         4         6
Vardas4676           Pavarde4676                      4        10         2         1         6         2         2         7
Vardas4677           Pavarde4677                      9         8         6         2         9         8         1         3
Vardas4678           Pavarde4678                      3         9         8         2         5         7         9         8
Vardas4679           Pavarde4679                      8        10         6         5         4         9         1         1
Vardas4680           Pavarde4680                      5         5         8         1         6         2         6         1
Vardas4681           Pavarde4681                      1         5         5         9        10         7         4         9
Vardas4682           Pavarde4682                      8         5         4         4         4         2         7         6
Vardas4683           Pavarde4683                      2         7         1         7         9         6         1         9
Vardas4684           Pavarde4684                      2         9         8         9         8        10         1         4
Vardas4685           Pavarde4685                      5         7         3         6         1         9         4        10
Vardas4686           Pavarde4686                      8         5        10        10         1         8         2         9
Vardas4687           Pavarde4687                     10         9        10         2         6         5         6         8
Vardas4688           Pavarde4688                      8         9         6         9         2         8        10         8
Vardas4689           Pavarde4689                      9         5         8         9         4         5         5        10
Vardas4690           Pavarde4690                      4         8         7         2         2         7         4         1
Vardas4691           Pavarde4691                      8         7         6         3         2         1         1        10
Vardas4692           Pavarde4692                      7         3        10         3         3         6         1         6
Vardas4693           Pavarde4693                      3         7         2         5        10         6         3         6
Vardas4694           Pavarde4694                      7         5         4         2        10         1         9         6
Vardas4695           Pavarde4695                      6         7         8         9         1         1         1        10
Vardas4696           Pavarde4696                      1         5         2        10         6        10        10         2
Vardas4697           Pavarde4697                      7         6         2         6        10         3        10        10
Vardas4698           Pavarde4698                      3         1         1         1         3         3         3         5
Vardas4699           Pavarde4699                      1         5        10        10         9         7        10         5
Vardas4700           Pavarde4700                      5         8        10         3         2         3         4         9
Vardas4701           Pavarde4701                      8         8         8         5         1         7         4         8
Vardas4702           Pavarde4702                      1         4         3         2        10         9        10         9
Vardas4703           Pavarde4703                      8         1         2         4         1         9         4         1
Vardas4704           Pavarde4704                      9         5         7         6        10         6         9         1
Vardas4705           Pavarde4705                      2         5         1         6        10         8         5         3
Vardas4706           Pavarde4706                      2         4         9         6         4        10         8         6
Vardas4707           Pavarde4707                      2         3         5         3         7         1        10        10
Vardas4708           Pavarde4708                      2         3         3         9         5         9         3         6
Vardas4709           Pavarde4709                      2         2         2         7        10         5         1         7
Vardas4710           Pavarde4710                      6         5         9         4         2         3         5         2
Vardas4711           Pavarde4711                      5         5         4         1         8         3         9        10
Vardas4712           Pavarde4712                      2         5         5         3         6         3         7         9
Vardas4713           Pavarde4713                      7         3         7         8         7         4         8         3
Vardas4714           Pavarde4714                      3         2         1        10        10         5         2         9
Vardas4715           Pavarde4715                      4         8         5         7         8         3         8         8
Vardas4716           Pavarde4716                      8         5        10         6         5         7         4         2
Vardas4717           Pavarde4717                      8         8         4         4         8         2         8         9
Vardas4718           Pavarde4718                      6         2         8         5         9         3         6         6
Vardas4719           Pavarde4719                      8         9         9         9         8         8         9         1
Vardas4720           Pavarde4720                      8         2         8         7         9         4         9         9
Vardas4721           Pavarde4721                      2         8         7         3         4        10         2         1
Vardas4722           Pavarde4722                      8         3         1         8         1         1         8         9
Vardas4723           Pavarde4723                      1         4         5         9         7         8         2         2
Vardas4724           Pavarde4724                      2         6         3        10         8         8         5         2
Vardas4725           Pavarde4725                      7         2         4         5         9         2        10         7
Vardas4726           Pavarde4726                      9         5         3         6         5         9         5         4
Vardas4727           Pavarde4727                      9         6         8         2         7         9        10         4
Vardas4728           Pavarde4728                      3         8         8         2         4         4         2        10
Vardas4729           Pavarde4729                      5        10         7        10        10         5         4         1
Vardas4730           Pavarde4730                      6         8         9         8         2         6         1         4
Vardas4731           Pavarde4731                     10         3         5         6         2        10        10         3
Vardas4732           Pavarde4732                     10         1         6         1         1         7         1         3
Vardas4733           Pavarde4733                     10         3         6         8         2         7         6         5
Vardas4734           Pavarde4734                      9        10         9         9         6         9         5         6
Vardas4735           Pavarde4735                     10         9         7         4         7         8         4         9
Vardas4736           Pavarde4736                      3         1         2         3         6         6         7        10
Vardas4737           Pavarde4737                      8        10         8         7         6         2         6         5
Vardas4738           Pavarde4738                      9         5         5         5         3         4         3         1
Vardas4739           Pavarde4739                     10         9         7         6         7         9         7         3
Vardas4740           Pavarde4740                      9         2         1         7         9         9         9         1
Vardas4741           Pavarde4741                      3         4         9         9         2         7         7         7
Vardas4742           Pavarde4742                      6         3         6         6         2        10         9         8
Vardas4743           Pavarde4743                      1         3         4         3         5         4         6         9
Vardas4744           Pavarde4744                      3         5         5         3         7         9         1         1
Vardas4745           Pavarde4745                      8         2         7         9         4         4         6         1
Vardas4746           Pavarde4746                      6         3         6         8         6         2        10         1
Vardas4747           Pavarde4747                      6         6         3         4         2        10         9        10
Vardas4748           Pavarde4748                      6         8         6         7         7         3         5         4
Vardas4749           Pavarde4749                      3         8         3         5         6         9         6         9
Vardas4750           Pavarde4750                      7         5         5         3         5         8         9         1
Vardas4751           Pavarde4751                      9         1        10         2         4         1         8         8
Vardas4752           Pavarde4752                      1         1         2        10         6         3         9         2
Vardas4753           Pavarde4753                      9         8         9         8         8         6         8        10
Vardas4754           Pavarde4754                      3         8         8         5         4        10        10         7
Vardas4755           Pavarde4755                      9         6         8         3         4         6         6         2
Vardas4756           Pavarde4756                      9         7         5         9         4         6         3         7
Vardas4757           Pavarde4757                      7         2         1        10         9         2         3         7
